ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Examples_Count,Examples_Count_Log
kase1253,Kasem,,11.0824,-1.39076,kase1253,,2,0.6931471805599453
kwaa1262,Baa,,9.42222,11.4439,kwaa1262,,7,1.9459101490553132
gura1261,Gur,,,,gura1261,,3,1.0986122886681098
arab1395,Arabic,,,,arab1395,,203,5.313205979041787
aust1307,Austronesian,,,,aust1307,,14,2.6390573296152584
papu1250,Papuan Malay,,-2.53482,139.651,papu1250,,1446,7.27655640271871
sarm1242,Sarmi,,,,sarm1242,,25,3.2188758248682006
nucl1632,Sentani,,-2.6013,140.512,nucl1632,,1,0.0
nort2828,North Moluccan Malay,,-0.86437,128.323,nort2828,,2,0.6931471805599453
biak1248,Biak,,-0.9523,135.879,biak1248,,6,1.791759469228055
ambo1255,Ambon Malay,,,,ambo1255,,1,0.0
dobo1244,Dobo Malay,,,,dobo1244,,1,0.0
sril1245,Sri Lanka Malay,,6.91603,79.864,sril1245,,1,0.0
mala1481,Manado Malay,,1.48099,124.843,mala1481,,23,3.1354942159291497
isir1237,Isirawa,,-1.88775,138.595,isir1237,,2,0.6931471805599453
